"datetime","stream_height_ft","date"
2019-04-24 03:46:10,0.277228623689659,2019-04-24
2019-04-24 03:58:08,0.273223089850605,2019-04-24
2019-04-24 05:56:27,0.273168308557952,2019-04-24
2019-04-24 09:00:57,0.272416226404583,2019-04-24
2019-04-24 11:59:25,0.271000269263981,2019-04-24
2019-04-24 14:57:54,0.270250972600069,2019-04-24
2019-04-24 15:54:02,0.269558314221781,2019-04-24
2019-04-24 16:00:08,0.273555491592464,2019-04-24
2019-04-24 16:20:12,0.273546206627608,2019-04-24
2019-04-24 16:48:12,0.270199905293359,2019-04-24
2019-04-24 18:00:23,0.269499818943185,2019-04-24
2019-04-24 21:00:51,0.267416272829407,2019-04-24
2019-04-24 23:59:59,0.263332745285559,2019-04-24
2019-04-25 00:00:00,0.264429197708004,2019-04-25
2019-04-25 02:57:44,0.261827801198344,2019-04-25
2019-04-25 06:00:09,0.257214832540358,2019-04-25
2019-04-25 09:00:34,0.253272076350006,2019-04-25
2019-04-25 12:01:01,0.250671614585768,2019-04-25
2019-04-25 14:59:28,0.248741365289164,2019-04-25
2019-04-25 18:01:55,0.245470691057291,2019-04-25
2019-04-25 20:58:22,0.243539507015265,2019-04-25
2019-04-25 23:59:59,0.240938110505604,2019-04-25
2019-04-26 00:00:00,0.237741992012765,2019-04-26
2019-04-26 03:01:48,0.234855150659915,2019-04-26
2019-04-26 05:58:23,0.230625420805549,2019-04-26
2019-04-26 08:58:57,0.227067135201941,2019-04-26
2019-04-26 11:55:30,0.224161847578466,2019-04-26
2019-04-26 15:00:03,0.222599448456508,2019-04-26
2019-04-26 17:56:37,0.218369718602142,2019-04-26
2019-04-26 20:57:11,0.21547365411398,2019-04-26
2019-04-26 23:59:59,0.211253147394926,2019-04-26
2019-04-27 00:00:00,0.214189189189189,2019-04-27
2019-04-27 02:58:02,0.210810810810811,2019-04-27
2019-04-27 05:56:22,0.206756756756757,2019-04-27
2019-04-27 08:54:41,0.202702702702703,2019-04-27
